AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
Gravel013,16K-JPG,zip,1054219323,https://cc0textures.com/get?file=Gravel013_16K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel013_u38ytqvk/Gravel013_16K-JPG.zip
Gravel013,16K-PNG,zip,4491770517,https://cc0textures.com/get?file=Gravel013_16K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel013_u38ytqvk/Gravel013_16K-PNG.zip
Gravel012,2K-JPG,zip,23820876,https://cc0textures.com/get?file=Gravel012_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel012_ql4ve9ng/Gravel012_2K-JPG.zip
Gravel012,2K-PNG,zip,70674581,https://cc0textures.com/get?file=Gravel012_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel012_ql4ve9ng/Gravel012_2K-PNG.zip
Gravel012,4K-JPG,zip,85699683,https://cc0textures.com/get?file=Gravel012_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel012_ql4ve9ng/Gravel012_4K-JPG.zip
Gravel012,4K-PNG,zip,268367692,https://cc0textures.com/get?file=Gravel012_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel012_ql4ve9ng/Gravel012_4K-PNG.zip
Gravel012,8K-JPG,zip,299848544,https://cc0textures.com/get?file=Gravel012_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel012_ql4ve9ng/Gravel012_8K-JPG.zip
Gravel012,8K-PNG,zip,1038752789,https://cc0textures.com/get?file=Gravel012_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel012_ql4ve9ng/Gravel012_8K-PNG.zip
Gravel012,12K-JPG,zip,608000029,https://cc0textures.com/get?file=Gravel012_12K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel012_ql4ve9ng/Gravel012_12K-JPG.zip
Gravel012,12K-PNG,zip,2266616210,https://cc0textures.com/get?file=Gravel012_12K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel012_ql4ve9ng/Gravel012_12K-PNG.zip
Gravel012,16K-JPG,zip,1085180249,https://cc0textures.com/get?file=Gravel012_16K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel012_ql4ve9ng/Gravel012_16K-JPG.zip
Gravel012,16K-PNG,zip,4548041502,https://cc0textures.com/get?file=Gravel012_16K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel012_ql4ve9ng/Gravel012_16K-PNG.zip
Gravel011,2K-JPG,zip,23004111,https://cc0textures.com/get?file=Gravel011_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel011_m8wofez0/Gravel011_2K-JPG.zip
Gravel011,2K-PNG,zip,70929559,https://cc0textures.com/get?file=Gravel011_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel011_m8wofez0/Gravel011_2K-PNG.zip
Gravel011,4K-JPG,zip,82718679,https://cc0textures.com/get?file=Gravel011_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel011_m8wofez0/Gravel011_4K-JPG.zip
Gravel011,4K-PNG,zip,273254642,https://cc0textures.com/get?file=Gravel011_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel011_m8wofez0/Gravel011_4K-PNG.zip
Gravel011,8K-JPG,zip,293710705,https://cc0textures.com/get?file=Gravel011_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel011_m8wofez0/Gravel011_8K-JPG.zip
Gravel011,8K-PNG,zip,1124151967,https://cc0textures.com/get?file=Gravel011_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel011_m8wofez0/Gravel011_8K-PNG.zip
Gravel011,12K-JPG,zip,608139056,https://cc0textures.com/get?file=Gravel011_12K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel011_m8wofez0/Gravel011_12K-JPG.zip
Gravel011,12K-PNG,zip,2477199586,https://cc0textures.com/get?file=Gravel011_12K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel011_m8wofez0/Gravel011_12K-PNG.zip
Gravel011,16K-JPG,zip,1076129299,https://cc0textures.com/get?file=Gravel011_16K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel011_m8wofez0/Gravel011_16K-JPG.zip
Gravel011,16K-PNG,zip,4564982130,https://cc0textures.com/get?file=Gravel011_16K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel011_m8wofez0/Gravel011_16K-PNG.zip
PavingStones069,2K-JPG,zip,8445368,https://cc0textures.com/get?file=PavingStones069_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones069_0ruv8x36/PavingStones069_2K-JPG.zip
PavingStones069,2K-PNG,zip,34111647,https://cc0textures.com/get?file=PavingStones069_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones069_0ruv8x36/PavingStones069_2K-PNG.zip
PavingStones069,4K-JPG,zip,35015375,https://cc0textures.com/get?file=PavingStones069_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones069_0ruv8x36/PavingStones069_4K-JPG.zip
PavingStones069,4K-PNG,zip,137580495,https://cc0textures.com/get?file=PavingStones069_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones069_0ruv8x36/PavingStones069_4K-PNG.zip
PavingStones069,8K-JPG,zip,145274631,https://cc0textures.com/get?file=PavingStones069_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones069_0ruv8x36/PavingStones069_8K-JPG.zip
PavingStones069,8K-PNG,zip,551659073,https://cc0textures.com/get?file=PavingStones069_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones069_0ruv8x36/PavingStones069_8K-PNG.zip
PavingStones069,12K-JPG,zip,327766113,https://cc0textures.com/get?file=PavingStones069_12K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones069_0ruv8x36/PavingStones069_12K-JPG.zip
PavingStones069,12K-PNG,zip,1232842641,https://cc0textures.com/get?file=PavingStones069_12K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones069_0ruv8x36/PavingStones069_12K-PNG.zip
PavingStones069,16K-JPG,zip,620320292,https://cc0textures.com/get?file=PavingStones069_16K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones069_0ruv8x36/PavingStones069_16K-JPG.zip
